create table Workload (
	Staff_ID VARCHAR(15),
	Task_ID VARCHAR(5),
	TaskDate DATE,
	Shelter_ID VARCHAR(10),
	StartTime VARCHAR(50),
	EndTime VARCHAR(50),
PRIMARY KEY (Staff_ID, Task_ID, TaskDate),
FOREIGN KEY (Staff_ID) REFERENCES Staff(Staff_ID),
FOREIGN KEY (Task_ID) REFERENCES Task(Task_ID),
FOREIGN KEY (Shelter_ID) REFERENCES Shelter(Shelter_ID)
);

insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S36', 'T16', '02-May-2019', 'SH-05', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S36', 'T07', '02-Jan-2017', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S40', 'T18', '24-Jun-2018', 'SH-08', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S08', 'T05', '01-Jul-2019', 'SH-02', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S14', 'T16', '25-Mar-2018', 'SH-03', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S31', 'T06', '01-May-2017', 'SH-02', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S35', 'T17', '11-Sep-2018', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S31', 'T06', '13-Mar-2017', 'SH-01', '10:00 PM', '5:00 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S09', 'T14', '01-Jun-2019', 'SH-06', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S38', 'T10', '13-Apr-2017', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S11', 'T19', '22-May-2017', 'SH-05', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S08', 'T10', '24-Jan-2018', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S33', 'T05', '03-Jul-2019', 'SH-07', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S09', 'T15', '03-Mar-2017', 'SH-10', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S05', 'T18', '20-Nov-2019', 'SH-10', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S08', 'T10', '04-Jun-2017', 'SH-09', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S23', 'T16', '09-Feb-2018', 'SH-05', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S21', 'T15', '04-Jan-2019', 'SH-07', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S08', 'T06', '18-May-2018', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S16', 'T16', '07-Aug-2019', 'SH-08', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S16', 'T17', '12-Sep-2017', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S30', 'T17', '26-Feb-2019', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S13', 'T03', '22-May-2018', 'SH-08', '12:00 AM', '8:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S04', 'T17', '03-Dec-2018', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S06', 'T06', '05-Mar-2017', 'SH-08', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S35', 'T17', '18-Mar-2019', 'SH-06', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S37', 'T08', '22-Apr-2019', 'SH-04', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T19', '19-Jan-2018', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S23', 'T19', '28-Jun-2019', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S16', 'T17', '23-Jun-2019', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S13', 'T03', '08-Oct-2019', 'SH-04', '12:00 AM', '8:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S27', 'T16', '01-Sep-2018', 'SH-01', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S37', 'T11', '02-Jul-2019', 'SH-10', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S28', 'T12', '04-May-2017', 'SH-07', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S16', 'T18', '18-Feb-2018', 'SH-06', '9:00 PM', '9:00 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S33', 'T05', '05-May-2019', 'SH-03', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S20', 'T01', '14-Sep-2017', 'SH-01', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S32', 'T09', '02-Jun-2018', 'SH-09', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S03', 'T13', '21-Mar-2019', 'SH-09', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S34', 'T04', '02-Jul-2018', 'SH-09', '5:00 PM', '11:59 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S07', 'T15', '25-Aug-2018', 'SH-08', '9:00 AM', '5:00 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S11', 'T18', '09-Apr-2018', 'SH-05', '11:00 PM', '1:00 AM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S27', 'T16', '07-Sep-2017', 'SH-01', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S35', 'T18', '22-Jun-2017', 'SH-01', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S18', 'T16', '29-Jan-2017', 'SH-06', '12:00 AM', '11:59 PM');
insert into Workload (Staff_ID, Task_ID, TaskDate, Shelter_ID, StartTime, EndTime) values ('S23', 'T19', '26-Mar-2018', 'SH-09', '9:00 AM', '5:00 PM');
